winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Iowa,-1.7917857142857143,14.0
Ohio State,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,-1.8069565217391301,23.0
Gonzaga,Gonzaga,Tennessee,Tennessee,Michigan,Ohio State,Gonzaga,-1.819666666666667,15.0
Houston,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,-1.856,15.0
Houston,Alabama,Houston,Houston,Alabama,Ohio State,Gonzaga,-1.9225,12.0
Houston,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,-1.9522058823529411,34.0
Michigan,Michigan,Illinois,Illinois,Michigan,Ohio State,Iowa,-1.9871875000000003,32.0
Ohio State,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,-1.9889285714285718,14.0
Houston,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,-2.14,43.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Baylor,Gonzaga,-2.2888333333333324,30.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,-2.56054054054054,37.0
Gonzaga,Gonzaga,Arkansas,Illinois,Michigan,Arkansas,Gonzaga,-2.6166071428571427,28.0
Gonzaga,Gonzaga,Illinois,Illinois,Georgetown,Baylor,Gonzaga,-2.679,15.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Florida State,Baylor,Gonzaga,-2.7012499999999995,16.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,-2.767358490566038,53.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,-2.807105263157895,19.0
Gonzaga,Gonzaga,Arkansas,Illinois,Alabama,Arkansas,Gonzaga,-2.8944117647058816,17.0
Gonzaga,Gonzaga,Villanova,Houston,Michigan,Villanova,Gonzaga,-2.939705882352941,17.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,-3.0686585365853665,41.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Iowa,-3.074895833333333,48.0
