winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Ohio State,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,4.761666666666668,24.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Arkansas,Gonzaga,4.53,24.0
Ohio State,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,4.52776119402985,67.0
Gonzaga,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,4.4799999999999995,203.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Texas Tech,Gonzaga,4.46888888888889,18.0
Illinois,Michigan,Illinois,Illinois,Michigan,Purdue,Gonzaga,4.410666666666667,15.0
Alabama,Alabama,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,4.4027272727272715,22.0
Illinois,Gonzaga,Illinois,Illinois,Louisiana State,Ohio State,Gonzaga,4.1899999999999995,12.0
Gonzaga,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,4.155652173913044,115.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,4.106071428571428,112.0
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Ohio State,Gonzaga,4.036666666666666,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,3.7575609756097577,41.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Texas Tech,Gonzaga,3.756923076923077,13.0
Illinois,Michigan,Illinois,Illinois,Michigan,Arkansas,Gonzaga,3.7111111111111104,18.0
Baylor,Kansas,Baylor,Illinois,Texas,Baylor,Kansas,3.7076923076923074,13.0
Baylor,Gonzaga,Baylor,Oklahoma State,Texas,Baylor,Gonzaga,3.7,16.0
Gonzaga,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,3.683529411764706,17.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,North Carolina,Gonzaga,3.632,15.0
Ohio State,Alabama,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,3.47047619047619,21.0
Gonzaga,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,3.4579104477611935,67.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,3.4282258064516125,124.0
Gonzaga,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,3.368888888888888,54.0
Iowa,Iowa,Baylor,West Virginia,Michigan,Baylor,Iowa,3.141666666666667,12.0
Ohio State,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,3.0632432432432424,37.0
Alabama,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,3.031111111111111,27.0
Ohio State,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,2.955384615384616,13.0
Ohio State,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,2.8434782608695657,23.0
Gonzaga,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,2.836666666666668,36.0
Illinois,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,2.812777777777777,36.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Florida,Gonzaga,2.6399999999999997,13.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Michigan,Ohio State,Gonzaga,2.6114814814814817,54.0
Ohio State,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,2.54,28.0
Ohio State,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,2.535384615384616,26.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,2.36551724137931,29.0
Baylor,Kansas,Baylor,Illinois,Alabama,Baylor,Kansas,2.243,20.0
