pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
82,24,0.02,0.13,8.0,27.0,Gonzaga,Michigan,Illinois,Baylor,Michigan,Baylor,Baylor
82,6,0.03,0.13,8.0,28.0,Gonzaga,Alabama,Drexel,Baylor,Alabama,Baylor,Baylor
82,7,0.03,0.09,7.0,28.0,Iowa,Texas,Houston,Baylor,Iowa,Houston,Houston
82,0,0.02,0.11,6.0,22.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Illinois,Illinois
82,1,0.02,0.08,5.0,22.0,Gonzaga,Michigan,Illinois,North Carolina,Gonzaga,Illinois,Illinois
82,8,0.01,0.1,5.0,19.0,Gonzaga,Texas,Illinois,Hartford,Gonzaga,Illinois,Illinois
82,15,0.01,0.06,4.0,18.0,Kansas,Louisiana State,Illinois,Ohio State,Louisiana State,Illinois,Illinois
82,4,0.02,0.07,4.0,21.0,Wichita State,Alabama,Houston,Arkansas,Alabama,Houston,Alabama
82,22,0.01,0.05,3.0,17.0,Kansas,Michigan,Illinois,Ohio State,Kansas,Ohio State,Ohio State
82,3,0.0,0.04,2.0,13.0,Gonzaga,Florida State,Illinois,North Carolina,Gonzaga,North Carolina,North Carolina
82,2,0.0,0.03,2.0,13.0,Virginia,Michigan,San Diego State,Arkansas,Virginia,Arkansas,Arkansas
82,14,0.0,0.02,1.0,11.0,Creighton,Texas,Tennessee,Texas Tech,Creighton,Texas Tech,Creighton
83,17,0.13,0.46,34.0,51.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
83,4,0.09,0.37,25.0,44.0,Gonzaga,Michigan,West Virginia,Baylor,Gonzaga,Baylor,Gonzaga
83,22,0.07,0.31,22.0,42.0,Gonzaga,Alabama,Houston,Baylor,Gonzaga,Baylor,Gonzaga
83,0,0.08,0.21,18.0,43.0,Gonzaga,Florida State,Illinois,Baylor,Florida State,Baylor,Baylor
83,6,0.06,0.24,17.0,39.0,Gonzaga,Michigan,Houston,Baylor,Gonzaga,Houston,Gonzaga
83,2,0.06,0.25,16.0,38.0,Gonzaga,Alabama,Houston,Baylor,Gonzaga,Houston,Gonzaga
